addr,x,y,z,xdbu,ydbu,layer,hasEastEdge,hasNorthEdge,hasUpEdge,isBlockedEast,isBlockedNorth,isBlockedUp,hasSpecialVia,overrideShapeCostVia,hasGridCostEast,hasGridCostNorth,hasGridCostUp,hasApCostEast,hasApCostNorth,hasApCostUp,routeShapeCostPlanar,routeShapeCostVia,markerCostPlanar,markerCostVia,fixedShapeCostVia,fixedShapeCostPlanarHorz,fixedShapeCostPlanarVert,routeShapeCostPlanarNDR,routeShapeCostViaNDR,fixedShapeCostViaNDR,fixedShapeCostPlanarHorzNDR,fixedShapeCostPlanarVertNDR,guide,src,dst
533,13,4,0,176590,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
534,14,4,0,176890,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
535,15,4,0,177150,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
536,16,4,0,177270,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
537,17,4,0,177650,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
538,18,4,0,177710,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
539,19,4,0,177790,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
540,20,4,0,178030,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
541,21,4,0,178270,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
542,22,4,0,178410,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0
543,23,4,0,178790,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,0,0
544,24,4,0,178830,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,0,0,0,0,0,0,0,0
545,25,4,0,179170,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0
546,26,4,0,179390,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
547,27,4,0,179550,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0
548,28,4,0,179930,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,0,0
549,29,4,0,179950,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,0,0
550,30,4,0,180310,145740,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,0,0
551,31,4,0,180510,145740,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
552,32,4,0,180690,145740,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
645,125,4,0,200070,145740,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
646,126,4,0,200110,145740,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
647,127,4,0,200190,145740,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
648,128,4,0,200260,145740,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
775,125,5,0,200070,146020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
776,126,5,0,200110,146020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
777,127,5,0,200190,146020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
778,128,5,0,200260,146020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
905,125,6,0,200070,146300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
906,126,6,0,200110,146300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
907,127,6,0,200190,146300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
908,128,6,0,200260,146300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
974,64,7,0,187390,146580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
975,65,7,0,187530,146580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
976,66,7,0,187790,146580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,125,7,0,200070,146580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,126,7,0,200110,146580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,127,7,0,200190,146580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,128,7,0,200260,146580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,64,8,0,187390,146860,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,65,8,0,187530,146860,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,66,8,0,187790,146860,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,64,9,0,187390,147000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1235,65,9,0,187530,147000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,66,9,0,187790,147000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1364,64,10,0,187390,147140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,65,10,0,187530,147140,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1366,66,10,0,187790,147140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1494,64,11,0,187390,147340,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1495,65,11,0,187530,147340,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,15,0,174400,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1951,1,15,0,174590,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1952,2,15,0,174610,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1953,3,15,0,174910,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1954,4,15,0,174990,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1955,5,15,0,175370,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1956,6,15,0,175470,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1957,7,15,0,175750,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1958,8,15,0,176030,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1959,9,15,0,176130,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1960,10,15,0,176190,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1961,11,15,0,176400,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1962,12,15,0,176510,148260,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1963,13,15,0,176590,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1964,14,15,0,176890,148260,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1965,15,15,0,177150,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1966,16,15,0,177270,148260,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0
1967,17,15,0,177650,148260,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0
1968,18,15,0,177710,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0
1969,19,15,0,177790,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1970,20,15,0,178030,148260,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1971,21,15,0,178270,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1972,22,15,0,178410,148260,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0
1973,23,15,0,178790,148260,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,0,0
1974,24,15,0,178830,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,0,0,0,0,0,0,0,0
1975,25,15,0,179170,148260,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0
1976,26,15,0,179390,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1977,27,15,0,179550,148260,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0
1978,28,15,0,179930,148260,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,0,0
1979,29,15,0,179950,148260,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,0,0
1980,30,15,0,180310,148260,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,0,0
1981,31,15,0,180510,148260,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
1982,32,15,0,180690,148260,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2080,0,16,0,174400,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2081,1,16,0,174590,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2082,2,16,0,174610,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2083,3,16,0,174910,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2084,4,16,0,174990,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2085,5,16,0,175370,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2086,6,16,0,175470,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2087,7,16,0,175750,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2088,8,16,0,176030,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2089,9,16,0,176130,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2090,10,16,0,176190,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2091,11,16,0,176400,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2092,12,16,0,176510,148540,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2093,13,16,0,176590,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2094,14,16,0,176890,148540,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2095,15,16,0,177150,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2096,16,16,0,177270,148540,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0
2097,17,16,0,177650,148540,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0
2098,18,16,0,177710,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0
2099,19,16,0,177790,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2100,20,16,0,178030,148540,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2101,21,16,0,178270,148540,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0
2102,22,16,0,178410,148540,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0
